Kanji	Kana	Meaning	Page	Notes
町	まち	town	1	
	はずれ	Edge; outskirts	1	
	ある	to exist; to be	1	
	ちいさな	small	1	
昔	むかし	Long ago	1	
人々	ひとびと	people	1	
	あいだ	During the time of	1	
オオカミ	おおかみ	Wolf	1	
住む	すむ	to live	1	
	として	as (i.e. in the role of)	1	
恐れる	おそれる	to fear; to be afraid	1	
奥	おく	Interior, inside	1	
入る	はいる	to go in; to enter	1	
言い伝える	いいつたえる	Words that have been handed down; tradition	1	
立入禁止	たちいりきんし	Do not enter	1	Written on sign
	はじめまして	nice to meet you	2	An expression that comes from the verb はじめる: to start; to begin
	この	this	2	
幼い頃	おさないころ	when one was a very young child; very early in one's life	5	
両親	りょうしん	both parents	5	
